Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
04/15/2020,AQS,120090007,3,29,ug/m3 SC,27,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/16/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/17/2020,AQS,120090007,3,23,ug/m3 SC,21,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/18/2020,AQS,120090007,3,11,ug/m3 SC,10,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/19/2020,AQS,120090007,3,16,ug/m3 SC,15,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/20/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/21/2020,AQS,120090007,3,12,ug/m3 SC,11,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/22/2020,AQS,120090007,3,17,ug/m3 SC,16,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/23/2020,AQS,120090007,3,20,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/24/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/25/2020,AQS,120090007,3,18,ug/m3 SC,17,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/26/2020,AQS,120090007,3,23,ug/m3 SC,21,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/27/2020,AQS,120090007,3,13,ug/m3 SC,12,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/28/2020,AQS,120090007,3,10,ug/m3 SC,9,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/29/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
04/30/2020,AQS,120090007,3,12,ug/m3 SC,11,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/01/2020,AQS,120090007,3,13,ug/m3 SC,12,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/02/2020,AQS,120090007,3,14,ug/m3 SC,13,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/03/2020,AQS,120090007,3,10,ug/m3 SC,9,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/04/2020,AQS,120090007,3,12,ug/m3 SC,11,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/05/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/06/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/07/2020,AQS,120090007,3,19,ug/m3 SC,18,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/08/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/09/2020,AQS,120090007,3,20,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/10/2020,AQS,120090007,3,17,ug/m3 SC,16,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/11/2020,AQS,120090007,3,15,ug/m3 SC,14,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/12/2020,AQS,120090007,3,18,ug/m3 SC,17,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/13/2020,AQS,120090007,3,20,ug/m3 SC,19,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/14/2020,AQS,120090007,3,22,ug/m3 SC,20,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/15/2020,AQS,120090007,3,28,ug/m3 SC,26,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
05/16/2020,AQS,120090007,3,17,ug/m3 SC,16,Melbourne,1,100,81102,PM10 Total 0-10um STP,37340,"Palm Bay-Melbourne-Titusville, FL",12,Florida,9,Brevard,28.053611,-80.628611
